Hugo_Symbol	Entrez_Gene_Id	TCGA-43-7657	TCGA-58-8386	TCGA-22-5478	TCGA-22-5472	TCGA-43-5670	TCGA-60-2709	TCGA-22-5489	TCGA-77-8007	TCGA-22-5471	TCGA-22-4609	TCGA-22-5482	TCGA-56-8082	TCGA-22-5483	TCGA-56-8623	TCGA-33-4587	TCGA-56-7579	TCGA-43-3394	TCGA-34-8454	TCGA-77-7338	TCGA-43-6143	TCGA-43-6773	TCGA-51-4080	TCGA-34-7107	TCGA-39-5040	TCGA-43-6771	TCGA-92-7340	TCGA-77-7138	TCGA-77-7142	TCGA-56-7823	TCGA-22-5491	TCGA-22-5481	TCGA-90-7767	TCGA-77-8008	TCGA-56-7730	TCGA-33-6737	TCGA-56-7582	TCGA-56-7731	TCGA-77-7337	TCGA-43-7658	TCGA-56-8201	TCGA-85-7710	TCGA-56-7580	TCGA-43-6647	TCGA-90-6837	TCGA-56-8083	TCGA-51-4079	TCGA-56-7222	TCGA-22-4593	TCGA-51-4081	TCGA-56-8309
HIST3H2A	92815	336.79	500.46	703.28	287.01	486.75	70.51	145.02	14.03	397.93	318.57	463.65	6.78	242.88	135.24	363.56	231.32	403.5	136.19	130.6	285.03	156.59	954.43	454.09	110.43	16.51	447.82	103.69	187.71	127.89	718.08	836.53	98.73	80.57	260.38	197.09	223.41	343.89	303.44	115.16	74.06	3.06	420.68	109.66	106.63	1233.75	172.65	303.44	228.13	251.48	23.59
LIN7B	64130	105.15	212.78	102.25	212.78	172.65	244.57	105.89	152.28	258.57	218.79	249.73	199.85	215.77	215.77	62.56	231.32	173.85	164.42	81.71	217.27	323.03	373.81	136.19	231.32	153.34	177.53	181.28	49.91	181.28	435.55	162.14	87.03	199.85	305.55	165.57	162.14	171.45	80.57	215.77	106.63	135.24	135.24	151.22	395.18	295.11	120.94	114.36	96.68	277.2	153.34
LXN	56925	848.22	236.21	271.48	759.08	61.25	620.67	329.84	599.49	587.13	638.15	400.71	99.43	287.01	896.64	100.13	143.01	830.75	603.67	708.18	490.14	555.41	688.78	463.65	246.28	81.14	860.08	107.38	353.59	358.54	285.03	88.26	412.0	607.87	579.04	414.87	490.14	684.02	571.05	121.79	339.14	688.78	204.07	438.59	503.95	3039.3	607.87	106.63	507.46	255.0	346.29
CNKSR2	22866	32.59	8.51	45.85	6.16	49.21	11.91	12.27	15.0	1.38	8.71	4.31	10.31	9.2	35.0	26.86	16.88	25.72	2.73	8.71	25.54	4.54	23.76	6.41	18.7	0.0	2.89	2.03	9.56	3.59	8.85	21.78	15.91	1.73	74.58	6.52	25.35	7.17	2.76	13.12	4.31	1.38	6.62	6.11	1.66	33.54	3.11	0.82	3.32	27.25	6.16
SCML1	6322	84.63	74.58	67.12	57.89	102.97	132.44	66.65	57.08	336.79	171.45	94.67	31.67	134.3	206.94	118.43	205.5	202.66	191.67	110.43	131.51	62.12	220.32	224.97	38.95	84.63	161.02	182.55	56.28	129.69	417.77	68.55	147.06	77.79	206.94	61.68	267.73	74.58	96.01	361.04	170.25	165.57	119.26	87.65	53.57	232.94	67.12	64.8	90.14	198.47	154.42
AC024592.12	0	17.13	25.91	16.88	63.45	27.84	23.08	46.5	27.05	38.95	36.53	34.75	58.3	31.67	36.27	18.43	7.57	44.89	22.92	9.41	23.25	64.34	42.41	51.71	15.11	62.56	26.67	51.71	55.1	114.36	63.89	40.07	45.85	9.63	39.22	26.1	24.63	30.56	40.64	19.25	28.04	8.58	32.13	32.59	21.63	5.19	28.65	14.45	27.05	16.63	29.48
GSDMD	79792	1551.09	1427.22	1674.06	1685.71	3124.78	2133.97	2451.44	2240.11	1467.37	1477.58	974.5	1208.34	713.11	2148.82	1250.98	928.3	1313.23	2777.33	825.0	1819.35	1781.89	1870.53	836.53	928.3	1096.5	934.76	1651.0	591.22	1066.48	830.75	4769.75	1477.58	1540.37	802.41	1175.27	796.86	1844.76	660.68	1487.87	2816.11	2075.59	1135.2	1832.01	1208.34	1883.54	988.12	941.27	909.17	1135.2	2004.85
AKR1C1	1645	9945.68	723.08	1023.0	1242.34	136.19	40621.74	660.68	84.04	5366.37	1111.82	45386.27	5555.65	62865.33	1216.75	73.54	19214.73	35363.15	1340.84	15715.58	4575.41	28328.16	40621.74	39510.91	60.39	813.63	1159.07	105.15	775.05	37901.36	17437.64	96.01	595.34	1059.11	36610.26	39785.74	37901.36	3081.75	6337.83	59.97	71.0	884.29	1175.27	1143.1	656.11	334.46	52135.28	2133.97	934.76	37379.55	5403.7
C3orf62	375341	82.29	111.21	59.97	100.83	98.04	112.77	52.08	137.14	79.45	76.17	52.82	115.97	33.54	242.88	106.63	153.34	62.56	81.71	75.64	65.72	90.77	66.18	111.99	69.03	89.51	98.04	114.36	187.71	49.56	66.18	128.79	100.83	73.54	102.25	42.11	59.97	59.55	35.5	166.73	152.28	62.56	129.69	48.18	167.9	80.01	65.26	104.42	68.55	122.64	84.63
CRISPLD2	83716	162.14	297.17	518.15	220.32	185.11	1015.93	1059.11	591.22	241.19	1709.26	291.04	281.09	483.38	376.41	616.37	277.2	211.31	607.87	567.1	555.41	1697.45	141.02	1135.2	1111.82	674.59	1359.57	579.04	193.01	148.09	85.22	201.25	575.03	1977.24	190.34	599.49	88.26	1111.82	1088.92	232.94	2032.85	480.04	262.2	2319.15	1023.0	287.01	438.59	182.55	902.89	507.46	830.75
DOCK5	80005	43.94	209.84	108.9	198.47	211.31	120.1	118.43	303.44	20.86	94.67	148.09	112.77	103.69	138.1	86.43	33.78	38.12	122.64	106.63	127.0	88.26	30.78	186.4	1143.1	135.24	137.14	88.88	185.11	89.51	31.9	40.07	62.12	157.68	93.35	723.08	139.07	159.9	90.77	36.53	128.79	198.47	92.05	107.38	155.5	164.42	86.43	153.34	187.71	100.83	206.94
