gene,t_stat,p_value,p_adj,significant,log2FC,regulation
RS1,-25.935269695018974,1.1653643158445868e-30,1.9280952605648688e-26,True,-5.084261678167101,DOWN
ESAM,-24.903796391111655,7.684290179028731e-30,6.356829050601517e-26,True,-3.150388244768175,DOWN
TMEM88,-24.266235893388004,2.5500492855177726e-29,1.4063521809630516e-25,True,-3.3004226622464135,DOWN
S1PR1,-23.920793440943065,4.939371224543268e-29,2.0430474227517094e-25,True,-3.7335265569519978,DOWN
FAM83B,23.706466274522867,7.474415556232941e-29,2.0610700896312334e-25,True,5.627666605142783,UP
KIF23,23.716012472558358,7.337280879438332e-29,2.0610700896312334e-25,True,3.354898228154907,UP
NCAPH,23.48372484250408,1.1534512994286222e-28,2.120427972116284e-25,True,3.9494081267593852,UP
TEK,-23.504363879877896,1.1078409371425958e-28,2.120427972116284e-25,True,-3.9988398661390754,DOWN
NOSTRIN,-23.606174257996262,9.083055310504686e-29,2.120427972116284e-25,True,-3.9559016502987214,DOWN
ACVRL1,-23.253947404086386,1.811121364503572e-28,2.99650029757116e-25,True,-3.235687506881085,DOWN
CLEC3B,-23.021834595354314,2.867703515324255e-28,3.6711266613892587e-25,True,-5.25076637523391,DOWN
SLC2A1,23.048282890899152,2.7208703214357435e-28,3.6711266613892587e-25,True,4.9464697469144365,UP
MYCT1,-23.018891161706488,2.88453590801211e-28,3.6711266613892587e-25,True,-3.192758319281798,DOWN
LDB2,-22.7185134754729,5.258794624960993e-28,5.975457730295816e-25,True,-3.4072621638865748,DOWN
CNTN6,-22.703730286112425,5.417459410966289e-28,5.975457730295816e-25,True,-5.208415950419605,DOWN
SH2D3C,-22.606235556654394,6.593372213868546e-28,6.817958954903443e-25,True,-3.0960834765280847,DOWN
AK1,-22.494445388011393,8.266148242583015e-28,8.044907216090351e-25,True,-2.4901966541047766,DOWN
PLK1,22.437432412105345,9.279784432546287e-28,8.529668524248797e-25,True,3.884690506180368,UP
ERCC6L,22.378097578279853,1.046960001318646e-27,9.11681748516684e-25,True,3.5085718317767585,UP
FAM107A,-22.2769158601443,1.2868761722641734e-27,1.0645683135055374e-24,True,-5.81587314107572,DOWN
PRC1,22.148337244864454,1.6745160496682293e-27,1.2593121837164024e-24,True,3.3786367701373026,UP
XRCC2,22.15321970721857,1.657819056987268e-27,1.2593121837164024e-24,True,3.4206746583732834,UP
