gene,log2FC,p_adj,category
RS1,-5.084261678167101,1.9280952605648688e-26,Downregulated
ESAM,-3.150388244768175,6.356829050601517e-26,Downregulated
TMEM88,-3.300422662246413,1.4063521809630516e-25,Downregulated
S1PR1,-3.7335265569519978,2.0430474227517091e-25,Downregulated
KIF23,3.354898228154907,2.0610700896312331e-25,Upregulated
FAM83B,5.627666605142783,2.0610700896312331e-25,Upregulated
TEK,-3.9988398661390754,2.120427972116284e-25,Downregulated
NOSTRIN,-3.9559016502987214,2.120427972116284e-25,Downregulated
NCAPH,3.949408126759385,2.120427972116284e-25,Upregulated
ACVRL1,-3.235687506881085,2.99650029757116e-25,Downregulated
MYCT1,-3.192758319281798,3.671126661389258e-25,Downregulated
CLEC3B,-5.25076637523391,3.671126661389258e-25,Downregulated
SLC2A1,4.9464697469144365,3.671126661389258e-25,Upregulated
CNTN6,-5.208415950419605,5.975457730295816e-25,Downregulated
LDB2,-3.4072621638865748,5.975457730295816e-25,Downregulated
SH2D3C,-3.0960834765280847,6.817958954903443e-25,Downregulated
AK1,-2.4901966541047766,8.04490721609035e-25,Downregulated
PLK1,3.884690506180368,8.529668524248797e-25,Upregulated
ERCC6L,3.5085718317767585,9.11681748516684e-25,Upregulated
FAM107A,-5.81587314107572,1.0645683135055374e-24,Downregulated
PRC1,3.3786367701373026,1.2593121837164024e-24,Upregulated
XRCC2,3.4206746583732834,1.2593121837164024e-24,Upregulated
AGER,-7.724306469099369,1.4901376366507723e-24,Downregulated
GPR116,-3.9586312733752456,1.550703892959629e-24,Downregulated
GPX3,-3.802745270733194,1.5963793366312938e-24,Downregulated
TICRR,3.8888152953092208,1.657841068101552e-24,Upregulated
GPM6A,-6.235969349675379,1.657841068101552e-24,Downregulated
ECSCR,-3.159999842944101,1.657841068101552e-24,Downregulated
RAMP2,-3.2358828023564,1.6688103464756604e-24,Downregulated
EMCN,-3.8005949146985376,1.6688103464756604e-24,Downregulated
EFNA3,3.1721622253066557,1.6688103464756604e-24,Upregulated
ROBO4,-3.676274268071954,1.6688103464756604e-24,Downregulated
TFAP2A,4.997889952159837,1.8297496858242182e-24,Upregulated
CDCA5,3.826297744254295,2.347104768518635e-24,Upregulated
CA4,-6.816537223494997,2.4393339968415198e-24,Downregulated
SOX17,-3.511888764494322,3.7270193905931596e-24,Downregulated
USHBP1,-3.511347077572702,3.733358556902501e-24,Downregulated
DLC1,-3.979615957804645,4.131286195335297e-24,Downregulated
CDH5,-3.503538992798254,4.131286195335297e-24,Downregulated
CD302,-3.1078258223711623,4.131286195335297e-24,Downregulated
TNNC1,-6.2296267500674345,4.244883461816159e-24,Downregulated
JAM2,-3.0892210944106315,4.611860672172233e-24,Downregulated
KANK3,-3.864324140711666,4.66648855939647e-24,Downregulated
GYPE,-3.851439149071591,4.9306533325242086e-24,Downregulated
INMT,-5.634691148264521,4.9306533325242086e-24,Downregulated
CDC20,4.506657142913728,4.9306533325242086e-24,Upregulated
SLC39A8,-3.904514217730558,4.989423495042825e-24,Downregulated
NPR1,-3.920413612663181,5.0591616364281516e-24,Downregulated
TAL1,-3.554014059684314,5.128793504632687e-24,Downregulated
RGCC,-3.627058663816273,5.160279757715848e-24,Downregulated
TCF21,-4.831308497106856,5.160279757715848e-24,Downregulated
ASPA,-3.699354064641154,5.4793718406786644e-24,Downregulated
FERMT1,3.910574639629776,5.5863075543026486e-24,Upregulated
IGSF9,4.365362820573107,5.5863075543026486e-24,Upregulated
CCNB1,3.401963639958999,5.5863075543026486e-24,Upregulated
KIF14,3.996926283580682,5.5863075543026486e-24,Upregulated
EFCC1,-4.2771682348629945,5.952396417923373e-24,Downregulated
FXYD1,-4.045890104633227,6.047592768029519e-24,Downregulated
TPX2,4.625718552715084,6.408642427466983e-24,Upregulated
GPR146,-2.650578826190401,6.489034748996298e-24,Downregulated
TROAP,4.331586403082629,6.851411526572334e-24,Upregulated
CENPA,4.491395621201974,6.962062321039748e-24,Upregulated
SLC51B,-4.821201753400548,7.020513935835694e-24,Downregulated
PTPRB,-3.436274445222001,7.056127028113626e-24,Downregulated
RACGAP1,2.1854879789302526,7.182458245192964e-24,Upregulated
A2M,-3.576862642452705,8.558505065797863e-24,Downregulated
AQP1,-3.9678424048329095,8.558505065797863e-24,Downregulated
CENPF,4.280027465928556,9.644022413077812e-24,Upregulated
FOXM1,4.498627054994167,9.93404164387304e-24,Upregulated
CDC45,4.2200417248223046,9.93404164387304e-24,Upregulated
IHH,-4.458908944949529,9.945213182618414e-24,Downregulated
COL7A1,4.544113024728019,1.0082391026421828e-23,Upregulated
CHEK1,2.9019658671549475,1.019598159825434e-23,Upregulated
CDCA4,2.1960815909407403,1.0551736784813593e-23,Upregulated
NOVA2,-2.8727908359454557,1.0569132596981682e-23,Downregulated
SLC35A1,-1.594510588108326,1.067274096706618e-23,Downregulated
FHL5,-4.392968605140091,1.1220217331538293e-23,Downregulated
FHL1,-4.126272508831804,1.1220217331538293e-23,Downregulated
RECQL4,3.1368855630134336,1.1220217331538293e-23,Upregulated
EDNRB,-4.566667611994195,1.1220217331538293e-23,Downregulated
KHDRBS2,-4.42220527875883,1.1257077950448992e-23,Downregulated
HSPB6,-4.141559961186979,1.128644455196377e-23,Downregulated
C17orf53,3.159165359818836,1.1470877558288955e-23,Upregulated
POLQ,3.946427411964611,1.151649565223372e-23,Upregulated
CFP,-3.5631266452002954,1.1543915653624737e-23,Downregulated
CAT,-2.33980408927701,1.1543915653624737e-23,Downregulated
CBLC,3.5364655220063392,1.2173336285347653e-23,Upregulated
CPB2,-6.491589132026496,1.2511643719854046e-23,Downregulated
SUSD2,-5.117062901021342,1.2511643719854046e-23,Downregulated
GINS1,3.746881690680764,1.2511643719854046e-23,Upregulated
CLEC14A,-3.1527378113067925,1.2774630520609466e-23,Downregulated
KIF4A,4.215691266003292,1.309370891679709e-23,Upregulated
ASPM,4.0648773963166605,1.317993237503392e-23,Upregulated
CLIC5,-5.822896852903042,1.3295929151285713e-23,Downregulated
CLDN18,-8.188339428861319,1.3840976525797876e-23,Downregulated
E2F7,3.8925008286117673,1.4250131775247476e-23,Upregulated
